,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,35,7050,948,2046,.463,725,1388,.522,223,658,.339,455,646,.704,391,926,1317,435,181,172,383,582,2574
Rank,,,69th,80th,74th,36th,42nd,117th,245th,257th,186th,175th,158th,254th,73rd,52nd,49th,169th,289th,17th,166th,243rd,97th
Opponent,35,7050,834,1979,.421,634,1363,.465,200,616,.325,467,639,.731,309,798,1107,380,197,92,365,594,2335
Rank,,,158th,239th,82nd,249th,328th,37th,38th,44th,106th,224th,213th,270th,91st,140th,102nd,57th,100th,68th,105th,261st,142nd
